lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HPA0251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0252,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
HPA0253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
HPA0254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0257,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HPA0258,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0260,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1
HPA0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0264,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
HPA0265,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0268,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0271,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0272,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0273,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1
HPA0274,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HPA0275,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
HPA0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0279,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0281,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0282,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
